tats_cd,association_name,district_code,content_id,place_title,match_method
5f42dc304a006ecec1097feade0ca3c3,커피베이/창경궁힐스테이트점,110,126511,창경궁,substring
8807c2b954cab4307d1be9ba140802b7,성북선잠박물관,290,3043911,성북선잠박물관,exact
6ddfb0de819db4e645e32edf3def60a2,세종호텔,140,142727,세종호텔,exact
14e9516686e544244653c40c95ebac82,서울서둘째로잘하는집,110,398350,서울서둘째로잘하는집,exact
94e2e2bb8b184971338361ce74c5ff31,국립중앙박물관/어린이박물관,170,129703,국립중앙박물관,substring
13db262a7b0b994c18a9d27a5d14f383,서울상상나라,215,1897833,서울상상나라,exact
6456b98a98f2e065be78624ea07dbd53,혜화칼국수,110,2902652,혜화칼국수,exact
7af0fdbecd5e6eed8df733c4c9d5e366,CGV/대학로,110,126534,대학로,substring
212a5ee7d81f683592e25fbbb60ca0c2,눈스퀘어,140,807619,눈스퀘어,exact
e0ea3cce552a301b41ab033a41424e94,서울왕돈까스/성북동본점,290,2839181,서울왕돈까스,substring
573adb5fa0ca6c36fdc22416d8221c51,남산산채집,140,135679,남산산채집,exact
ee039c8ce4b9a1166882744db422ae45,한양도성박물관,110,1939691,한양도성박물관,exact
8e9dd397876753af9afcc99a7e006386,떡박물관,110,130365,떡박물관,exact
c50046e349888c25f4066f647f440bbb,서울중앙시장,140,2589070,서울 중앙시장,exact
3a3ec9ce17b842ecd00feca182b876c6,디키디키,140,2561208,디키디키,exact
ecc56d674525ea8852da59e9689e06e2,무교동북어국집,140,403044,무교동 북어국집,exact
9bc3f57aa7375fac875095884aa73884,서울시립미술관,140,130071,서울시립미술관 서소문본관,substring
f72ab7ec1016941d7cc813b52b64cf57,자하손만두,110,834669,자하손만두,exact
2fa137096d09cf460e7b006747f3a418,황생가칼국수,110,837020,황생가칼국수,exact
b42232e989a8f23c1141fa0064c82524,문화식당,290,2839130,문화식당,exact
749a481312a0b2fdd7d75dbf0966e6c0,가나아트센터,110,129854,가나아트센터,exact
e7177a9f589bd522020861014825812f,환기미술관,110,129760,환기미술관,exact
bc03d69b288b5d367b335d76b91c2ffc,패션5,170,1142774,패션5(Passion 5),normalized
dfef54b157bb31f5dfb9ca62e04004c9,국토발전전시관,140,2764516,국토발전전시관,exact
9790b35b54d4adcc46e424df4f01b24e,산모퉁이,110,2836148,산모퉁이,exact
c52bbe1f251b1bd801fa2eff9dd24746,국립현대미술관/덕수궁관,140,126509,덕수궁,substring
bae908cd28770737089781a65f00dd99,금선사,110,298109,금선사(서울),normalized
87191a8c608dfc6be3f91248de1e8124,중화원/[중식],380,2846659,중화원,substring
b69e9919640adc08057eedd0dc90aed8,장충동족발골목,140,699279,장충동 족발 골목,exact
c318dcf07cfd92680e461df4d8882adb,석파정서울미술관,110,2783512,석파정 서울미술관,exact
